ID,Gender ,Age,_Understand_Math_Concepts_Better,_Feel_Engaged_Hands_Activities,_ABL_Increases_Motivation,_Perform_Better_Participating_ABL,_Apply_Learn_Real-Life,_Collaborate_Classmates,_ABM_Retain_Info_Longer,_Feel_Confident_Problem_Solving,_Participate_Actively,_Communication_Improve,_Enjoy_Learning,_Critical_Thinking_Enhanced,_Constructive_Feedback,_ABL_Prepares_For_Future,_ABL_Has_Positive_Impact,Performance
1,Female,14,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly  Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,45
2,Male,15,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,57
3,Male,19,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly  Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral,35
4,Male,15,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,87
5,Female,16,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,70
6,Male,15,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly  Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,58
7,Female,16,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,65
8,Female,17,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,49
9,Male,18,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,87
10,Female,18,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,74
11,Female,16,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,62
12,Male,15,Agree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,34
13,Female,16,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,29
14,Male,15,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,30
15,Female,18,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,54
16,Male,15,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,45
17,Male,16,Neutral,Strongly Agree,strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,59
18,Female,16,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,72
19,Male,15,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,45
20,Male,15,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,63
21,Female,17,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,52
22,Male,15,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,65
23,Female,16,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,49
24,Female,17,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,50
25,Male,17,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,43
26,Female,15,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,55
27,Male,19,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,85
28,Male,15,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,73
29,Male,18,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,43
30,Male,16,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,27
31,Male,16,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,12
32,Male,15,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,32
33,Female,16,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,24
34,Male,16,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,19
35,Female,16,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,46
36,Female,15,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,51
37,Male,16,Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,82
